,Signal
2016-10-14 11:13:30.750,0.0
2016-10-14 11:13:31.000,0.0
2016-10-14 11:13:31.250,0.0
2016-10-14 11:13:31.500,0.0
2016-10-14 11:13:31.750,0.0
2016-10-14 11:13:32.000,0.0
2016-10-14 11:13:32.250,0.0
2016-10-14 11:13:32.500,0.0
2016-10-14 11:13:32.750,0.0
2016-10-14 11:13:33.000,0.0
2016-10-14 11:13:33.250,0.0
2016-10-14 11:13:33.500,0.0
2016-10-14 11:13:33.750,0.0
2016-10-14 11:13:34.000,0.0
2016-10-14 11:13:34.250,0.0
2016-10-14 11:13:34.500,0.0
2016-10-14 11:13:34.750,0.0
2016-10-14 11:13:35.000,0.0
2016-10-14 11:13:35.250,0.0
2016-10-14 11:13:35.500,0.0
2016-10-14 11:13:35.750,0.0
2016-10-14 11:13:36.000,0.0
2016-10-14 11:13:36.250,0.0
2016-10-14 11:13:36.500,0.0
2016-10-14 11:13:36.750,0.0
2016-10-14 11:13:37.000,0.0
2016-10-14 11:13:37.250,0.0
2016-10-14 11:13:37.500,0.0
2016-10-14 11:13:37.750,0.0
2016-10-14 11:13:38.000,0.0
2016-10-14 11:13:38.250,0.0
2016-10-14 11:13:38.500,0.0
2016-10-14 11:13:38.750,0.0
2016-10-14 11:13:39.000,0.0
2016-10-14 11:13:39.250,0.0
2016-10-14 11:13:39.500,0.0
2016-10-14 11:13:39.750,0.0
2016-10-14 11:13:40.000,0.0
2016-10-14 11:13:40.250,0.0
2016-10-14 11:13:40.500,0.0
2016-10-14 11:13:40.750,0.0
2016-10-14 11:13:41.000,0.0
2016-10-14 11:13:41.250,0.0
2016-10-14 11:13:41.500,0.0
2016-10-14 11:13:41.750,0.0
2016-10-14 11:13:42.000,0.0
2016-10-14 11:13:42.250,0.0
2016-10-14 11:13:42.500,0.0
2016-10-14 11:13:42.750,0.0
2016-10-14 11:13:43.000,0.0
2016-10-14 11:13:43.250,0.0
2016-10-14 11:13:43.500,0.0
2016-10-14 11:13:43.750,0.0
2016-10-14 11:13:44.000,0.0
2016-10-14 11:13:44.250,0.0
2016-10-14 11:13:44.500,0.0
2016-10-14 11:13:44.750,0.0
2016-10-14 11:13:45.000,0.0
2016-10-14 11:13:45.250,0.0
2016-10-14 11:13:45.500,0.0
2016-10-14 11:13:45.750,0.0
2016-10-14 11:13:46.000,0.0
2016-10-14 11:13:46.250,0.0
2016-10-14 11:13:46.500,0.0
2016-10-14 11:13:46.750,0.0
2016-10-14 11:13:47.000,0.0
2016-10-14 11:13:47.250,0.0
2016-10-14 11:13:47.500,0.0
2016-10-14 11:13:47.750,0.0
2016-10-14 11:13:48.000,0.0
2016-10-14 11:13:48.250,0.0
2016-10-14 11:13:48.500,0.0
2016-10-14 11:13:48.750,0.0
2016-10-14 11:13:49.000,0.0
2016-10-14 11:13:49.250,0.0
2016-10-14 11:13:49.500,0.0
2016-10-14 11:13:49.750,0.0
2016-10-14 11:13:50.000,0.0
2016-10-14 11:13:50.250,0.0
2016-10-14 11:13:50.500,0.0
2016-10-14 11:13:50.750,0.0
2016-10-14 11:13:51.000,0.0
2016-10-14 11:13:51.250,0.0
2016-10-14 11:13:51.500,0.0
2016-10-14 11:13:51.750,0.0
2016-10-14 11:13:52.000,0.0
2016-10-14 11:13:52.250,0.0
2016-10-14 11:13:52.500,0.0
2016-10-14 11:13:52.750,0.0
2016-10-14 11:13:53.000,0.0
2016-10-14 11:13:53.250,0.0
2016-10-14 11:13:53.500,0.0
2016-10-14 11:13:53.750,0.0
2016-10-14 11:13:54.000,0.0
2016-10-14 11:13:54.250,0.0
2016-10-14 11:13:54.500,0.0
2016-10-14 11:13:54.750,0.0
2016-10-14 11:13:55.000,0.0
2016-10-14 11:13:55.250,0.0
2016-10-14 11:13:55.500,0.0
2016-10-14 11:13:55.750,0.0
2016-10-14 11:13:56.000,0.0
2016-10-14 11:13:56.250,0.0
2016-10-14 11:13:56.500,0.0
2016-10-14 11:13:56.750,0.0
2016-10-14 11:13:57.000,0.0
2016-10-14 11:13:57.250,0.0
2016-10-14 11:13:57.500,0.0
2016-10-14 11:13:57.750,0.0
2016-10-14 11:13:58.000,0.0
2016-10-14 11:13:58.250,0.0
2016-10-14 11:13:58.500,0.0
2016-10-14 11:13:58.750,0.0
2016-10-14 11:13:59.000,0.0
2016-10-14 11:13:59.250,0.0
2016-10-14 11:13:59.500,0.0
2016-10-14 11:13:59.750,0.0
2016-10-14 11:14:00.000,0.0
2016-10-14 11:14:00.250,0.0
2016-10-14 11:14:00.500,0.0
2016-10-14 11:14:00.750,0.0
2016-10-14 11:14:01.000,0.0
2016-10-14 11:14:01.250,0.0
2016-10-14 11:14:01.500,0.0
2016-10-14 11:14:01.750,0.0
2016-10-14 11:14:02.000,0.0
2016-10-14 11:14:02.250,0.0
2016-10-14 11:14:02.500,0.0
2016-10-14 11:14:02.750,0.0
2016-10-14 11:14:03.000,0.0
2016-10-14 11:14:03.250,0.0
2016-10-14 11:14:03.500,0.0
2016-10-14 11:14:03.750,0.0
2016-10-14 11:14:04.000,0.0
2016-10-14 11:14:04.250,0.0
2016-10-14 11:14:04.500,0.0
2016-10-14 11:14:04.750,0.0
2016-10-14 11:14:05.000,0.0
2016-10-14 11:14:05.250,0.0
2016-10-14 11:14:05.500,0.0
2016-10-14 11:14:05.750,0.0
2016-10-14 11:14:06.000,0.0
2016-10-14 11:14:06.250,0.0
2016-10-14 11:14:06.500,0.0
2016-10-14 11:14:06.750,0.0
2016-10-14 11:14:07.000,0.0
2016-10-14 11:14:07.250,1.0
2016-10-14 11:14:07.500,1.0
2016-10-14 11:14:07.750,0.0
2016-10-14 11:14:08.000,0.0
2016-10-14 11:14:08.250,0.0
2016-10-14 11:14:08.500,0.0
2016-10-14 11:14:08.750,0.0
2016-10-14 11:14:09.000,0.0
2016-10-14 11:14:09.250,0.0
2016-10-14 11:14:09.500,0.0
2016-10-14 11:14:09.750,0.0
2016-10-14 11:14:10.000,0.0
2016-10-14 11:14:10.250,0.0
2016-10-14 11:14:10.500,0.0
2016-10-14 11:14:10.750,0.0
2016-10-14 11:14:11.000,0.0
2016-10-14 11:14:11.250,0.0
2016-10-14 11:14:11.500,0.0
2016-10-14 11:14:11.750,0.0
2016-10-14 11:14:12.000,0.0
2016-10-14 11:14:12.250,0.0
2016-10-14 11:14:12.500,0.0
2016-10-14 11:14:12.750,0.0
2016-10-14 11:14:13.000,0.0
2016-10-14 11:14:13.250,1.0
2016-10-14 11:14:13.500,1.0
2016-10-14 11:14:13.750,1.0
2016-10-14 11:14:14.000,1.0
2016-10-14 11:14:14.250,1.0
2016-10-14 11:14:14.500,1.0
2016-10-14 11:14:14.750,1.0
2016-10-14 11:14:15.000,1.0
2016-10-14 11:14:15.250,1.0
2016-10-14 11:14:15.500,0.0
2016-10-14 11:14:15.750,0.0
2016-10-14 11:14:16.000,0.0
2016-10-14 11:14:16.250,1.0
2016-10-14 11:14:16.500,1.0
2016-10-14 11:14:16.750,1.0
2016-10-14 11:14:17.000,1.0
2016-10-14 11:14:17.250,0.0
2016-10-14 11:14:17.500,0.0
2016-10-14 11:14:17.750,0.0
2016-10-14 11:14:18.000,0.0
2016-10-14 11:14:18.250,0.0
2016-10-14 11:14:18.500,0.0
2016-10-14 11:14:18.750,0.0
2016-10-14 11:14:19.000,0.0
2016-10-14 11:14:19.250,0.0
2016-10-14 11:14:19.500,0.0
2016-10-14 11:14:19.750,0.0
2016-10-14 11:14:20.000,0.0
2016-10-14 11:14:20.250,0.0
2016-10-14 11:14:20.500,0.0
2016-10-14 11:14:20.750,0.0
2016-10-14 11:14:21.000,0.0
